[219.70s] 	VerticalForce final force:218.65N
[174.30s] 	VerticalForce final force:173.25N
[189.45s] 	VerticalForce final force:188.40N
[167.90s] 	VerticalForce final force:166.85N
[186.20s] 	VerticalForce final force:185.15N
[179.25s] 	VerticalForce final force:178.20N
[189.45s] 	VerticalForce final force:188.40N
[174.65s] 	VerticalForce final force:173.60N
[174.30s] 	VerticalForce final force:173.25N
[175.45s] 	VerticalForce final force:174.40N
[174.30s] 	VerticalForce final force:173.25N
[174.30s] 	VerticalForce final force:173.25N
[186.20s] 	VerticalForce final force:185.15N
[185.95s] 	VerticalForce final force:184.90N
