[209.30s] 	VerticalForce final force:208.25N
[220.65s] 	VerticalForce final force:219.60N
[220.75s] 	VerticalForce final force:219.70N
[243.55s] 	VerticalForce final force:242.50N
[227.70s] 	VerticalForce final force:226.65N
[220.65s] 	VerticalForce final force:219.60N
[217.55s] 	VerticalForce final force:216.50N
[225.80s] 	VerticalForce final force:224.75N
[220.20s] 	VerticalForce final force:219.15N
[223.55s] 	VerticalForce final force:222.50N
[225.80s] 	VerticalForce final force:224.75N
[242.25s] 	VerticalForce final force:241.20N
[190.70s] 	VerticalForce final force:189.65N
[182.90s] 	VerticalForce final force:181.85N
[190.70s] 	VerticalForce final force:189.65N
[182.90s] 	VerticalForce final force:181.85N
[220.65s] 	VerticalForce final force:219.60N
[220.75s] 	VerticalForce final force:219.70N
[225.80s] 	VerticalForce final force:224.75N
[190.70s] 	VerticalForce final force:189.65N
