[194.15s] 	HorizontalForce final force:193.10N
[221.75s] 	HorizontalForce final force:220.70N
[705.70s] 	HorizontalForce final force:704.65N
[532.25s] 	HorizontalForce final force:531.20N
[264.15s] 	HorizontalForce final force:263.10N
[382.40s] 	HorizontalForce final force:381.35N
[260.45s] 	HorizontalForce final force:259.40N
[269.35s] 	HorizontalForce final force:268.30N
[653.15s] 	HorizontalForce final force:652.10N
[240.55s] 	HorizontalForce final force:239.50N
[409.20s] 	HorizontalForce final force:408.15N
[1450.80s] 	HorizontalForce final force:1449.75N
[372.10s] 	HorizontalForce final force:371.05N
[237.50s] 	HorizontalForce final force:236.45N
[375.05s] 	HorizontalForce final force:374.00N
[286.40s] 	HorizontalForce final force:285.35N
[329.45s] 	HorizontalForce final force:328.40N
[557.75s] 	HorizontalForce final force:556.70N
