[175.35s] 	HorizontalForce final force:174.30N
[183.25s] 	HorizontalForce final force:182.20N
[177.00s] 	HorizontalForce final force:175.95N
[179.15s] 	HorizontalForce final force:178.10N
[177.00s] 	HorizontalForce final force:175.95N
[181.40s] 	HorizontalForce final force:180.35N
[184.55s] 	HorizontalForce final force:183.50N
[177.00s] 	HorizontalForce final force:175.95N
[183.40s] 	HorizontalForce final force:182.35N
[177.00s] 	HorizontalForce final force:175.95N
[177.00s] 	HorizontalForce final force:175.95N
[184.55s] 	HorizontalForce final force:183.50N
[177.00s] 	HorizontalForce final force:175.95N
[177.00s] 	HorizontalForce final force:175.95N
[184.55s] 	HorizontalForce final force:183.50N
[183.40s] 	HorizontalForce final force:182.35N
