[225.15s] 	HorizontalForce final force:224.10N
[350.50s] 	HorizontalForce final force:349.45N
[434.70s] 	HorizontalForce final force:433.65N
[350.50s] 	HorizontalForce final force:349.45N
[255.15s] 	HorizontalForce final force:254.10N
[255.15s] 	HorizontalForce final force:254.10N
[306.75s] 	HorizontalForce final force:305.70N
[1530.75s] 	HorizontalForce final force:1529.70N
[442.30s] 	HorizontalForce final force:441.25N
[303.60s] 	HorizontalForce final force:302.55N
[192.75s] 	HorizontalForce final force:191.70N
[255.15s] 	HorizontalForce final force:254.10N
[442.30s] 	HorizontalForce final force:441.25N
[311.95s] 	HorizontalForce final force:310.90N
[204.45s] 	HorizontalForce final force:203.40N
