[197.20s] 	VerticalForce final force:196.15N
[145.35s] 	VerticalForce final force:144.30N
[361.50s] 	VerticalForce final force:360.45N
[206.70s] 	VerticalForce final force:205.65N
[134.50s] 	VerticalForce final force:133.45N
[185.55s] 	VerticalForce final force:184.50N
[199.40s] 	VerticalForce final force:198.35N
[428.10s] 	VerticalForce final force:427.05N
[187.90s] 	VerticalForce final force:186.85N
[153.50s] 	VerticalForce final force:152.45N
[224.15s] 	VerticalForce final force:223.10N
[145.80s] 	VerticalForce final force:144.75N
[317.80s] 	VerticalForce final force:316.75N
[137.25s] 	VerticalForce final force:136.20N
[496.65s] 	VerticalForce final force:495.60N
[145.35s] 	VerticalForce final force:144.30N
[390.30s] 	VerticalForce final force:389.25N
[147.90s] 	VerticalForce final force:146.85N
[145.80s] 	VerticalForce final force:144.75N
[233.35s] 	VerticalForce final force:232.30N
