[124.05s] 	VerticalForce final force:123.00N
[93.70s] 	VerticalForce final force:92.65N
[112.65s] 	VerticalForce final force:111.60N
[101.40s] 	VerticalForce final force:100.35N
[87.20s] 	VerticalForce final force:86.15N
[91.70s] 	VerticalForce final force:90.65N
[100.85s] 	VerticalForce final force:99.80N
[85.90s] 	VerticalForce final force:84.85N
[100.85s] 	VerticalForce final force:99.80N
[89.05s] 	VerticalForce final force:88.00N
[100.65s] 	VerticalForce final force:99.60N
[94.35s] 	VerticalForce final force:93.30N
[87.20s] 	VerticalForce final force:86.15N
[82.60s] 	VerticalForce final force:81.55N
