[122.00s] 	VerticalForce final force:120.94N
[215.05s] 	VerticalForce final force:214.00N
[137.60s] 	VerticalForce final force:136.55N
[212.65s] 	VerticalForce final force:211.60N
[190.50s] 	VerticalForce final force:189.45N
[229.15s] 	VerticalForce final force:228.10N
[102.15s] 	VerticalForce final force:101.10N
[165.85s] 	VerticalForce final force:164.80N
[239.20s] 	VerticalForce final force:238.15N
[113.80s] 	VerticalForce final force:112.75N
[136.60s] 	VerticalForce final force:135.55N
[102.15s] 	VerticalForce final force:101.10N
[162.15s] 	VerticalForce final force:161.10N
[102.15s] 	VerticalForce final force:101.10N
[120.95s] 	VerticalForce final force:119.90N
[197.50s] 	VerticalForce final force:196.45N
[117.75s] 	VerticalForce final force:116.70N
