[7.75s] 	VerticalForce final force:670.00N
[10.60s] 	VerticalForce final force:955.00N
[4.36s] 	VerticalForce final force:335.00N
[5.66s] 	VerticalForce final force:465.00N
[8.60s] 	VerticalForce final force:759.00N
[5.96s] 	VerticalForce final force:630.22N
[5.23s] 	VerticalForce final force:518.48N
[4.68s] 	VerticalForce final force:438.97N
[5.04s] 	VerticalForce final force:490.57N
[5.30s] 	VerticalForce final force:528.88N
[5.25s] 	VerticalForce final force:521.44N
[5.69s] 	VerticalForce final force:588.05N
[5.19s] 	VerticalForce final force:512.56N
[5.30s] 	VerticalForce final force:528.88N
[5.35s] 	VerticalForce final force:536.35N
[4.97s] 	VerticalForce final force:480.40N
[5.68s] 	VerticalForce final force:586.50N
[4.86s] 	VerticalForce final force:464.56N
[5.59s] 	VerticalForce final force:572.68N
[6.21s] 	VerticalForce final force:670.17N
[5.18s] 	VerticalForce final force:511.09N
[5.15s] 	VerticalForce final force:506.67N
[2.78s] 	VerticalForce final force:1047.63N
