[19.37s] 	HorizontalForce final force:4496.85N
[23.14s] 	HorizontalForce final force:6514.79N
[23.14s] 	HorizontalForce final force:6514.79N
[15.97s] 	HorizontalForce final force:3104.01N
[15.97s] 	HorizontalForce final force:3104.01N
[20.16s] 	HorizontalForce final force:4874.65N
[21.18s] 	HorizontalForce final force:5396.27N
[16.56s] 	HorizontalForce final force:3320.66N
[17.23s] 	HorizontalForce final force:3578.83N
[18.71s] 	HorizontalForce final force:4197.82N
[18.18s] 	HorizontalForce final force:3968.17N
[15.97s] 	HorizontalForce final force:3104.01N
[19.47s] 	HorizontalForce final force:4543.45N
[17.46s] 	HorizontalForce final force:3670.54N
[17.21s] 	HorizontalForce final force:3570.93N
[17.71s] 	HorizontalForce final force:3772.05N
[19.62s] 	HorizontalForce final force:4614.02N
[21.18s] 	HorizontalForce final force:5396.27N
[20.11s] 	HorizontalForce final force:4850.08N
[18.95s] 	HorizontalForce final force:4304.85N
[19.36s] 	HorizontalForce final force:4492.21N
