[7.16s] 	VerticalForce final force:830.21N
[6.62s] 	VerticalForce final force:737.62N
[7.77s] 	VerticalForce final force:940.13N
[5.99s] 	VerticalForce final force:634.97N
[7.52s] 	VerticalForce final force:894.38N
[7.28s] 	VerticalForce final force:851.38N
[2.66s] 	VerticalForce final force:178.83N
[7.44s] 	VerticalForce final force:879.95N
[5.54s] 	VerticalForce final force:565.05N
[7.51s] 	VerticalForce final force:892.57N
[7.80s] 	VerticalForce final force:945.68N
[2.66s] 	VerticalForce final force:178.83N
[2.66s] 	VerticalForce final force:178.83N
[7.57s] 	VerticalForce final force:903.45N
[6.26s] 	VerticalForce final force:678.27N
[5.75s] 	VerticalForce final force:597.33N
[6.30s] 	VerticalForce final force:684.77N
[6.42s] 	VerticalForce final force:704.42N
[5.54s] 	VerticalForce final force:565.05N
[5.99s] 	VerticalForce final force:634.97N
[7.31s] 	VerticalForce final force:856.71N
[7.55s] 	VerticalForce final force:899.82N
[5.99s] 	VerticalForce final force:634.97N
[7.79s] 	VerticalForce final force:943.83N
[7.79s] 	VerticalForce final force:943.83N
[5.54s] 	VerticalForce final force:565.05N
