,generation,num_pad_units,pad_strength,result
0,0.0,1.0,119.0,2719.490155732081
1,0.0,4.0,145.0,1054.5543955277888
2,0.0,1.0,30.0,2232.9131814225852
3,0.0,7.0,374.0,14418.34099427877
4,0.0,7.0,285.0,14694.394969939707
5,0.0,3.0,272.0,1117.418692579696
6,0.0,2.0,183.0,1586.3233828573307
7,0.0,5.0,374.0,716.7083024759836
8,0.0,1.0,145.0,3389.506698765239
9,0.0,4.0,132.0,1138.5961398175803
0,1.0,7.0,285.0,15002.635848052414
1,1.0,7.0,374.0,13798.192910498703
2,1.0,1.0,145.0,3378.650941305758
3,1.0,1.0,119.0,3346.1892180986965
4,1.0,1.0,30.0,2387.3675355758523
5,1.0,2.0,183.0,1500.708777914093
6,1.0,4.0,132.0,1159.8857041738615
7,1.0,3.0,272.0,1447.0682632779615
8,1.0,7.0,374.0,13984.777165682677
9,1.0,7.0,285.0,6707.405259701063
0,2.0,7.0,285.0,15692.141883604398
1,2.0,7.0,374.0,5040.522663881085
2,2.0,7.0,374.0,14528.290000983241
3,2.0,7.0,285.0,4906.628367989251
4,2.0,1.0,145.0,3249.748466788907
5,2.0,1.0,119.0,3019.8779748584357
6,2.0,1.0,30.0,1738.075378493341
7,2.0,2.0,183.0,1409.1501033720579
8,2.0,7.0,374.0,12543.352212799844
9,2.0,7.0,285.0,14445.769397787773
0,3.0,7.0,285.0,14833.905678307712
1,3.0,7.0,374.0,14500.74385129345
2,3.0,7.0,285.0,6723.489171939484
3,3.0,7.0,374.0,15459.68941265869
4,3.0,7.0,374.0,13931.276303621584
5,3.0,7.0,285.0,14528.290000983241
6,3.0,1.0,145.0,3444.05042724542
7,3.0,1.0,119.0,3154.711047631519
8,3.0,7.0,374.0,13666.060043237792
9,3.0,7.0,285.0,15229.862894420421
0,4.0,7.0,374.0,11841.442090621838
1,4.0,7.0,285.0,18134.415720520894
2,4.0,7.0,285.0,16526.79319140703
3,4.0,7.0,285.0,14611.164741207247
4,4.0,7.0,374.0,13352.78329912458
5,4.0,7.0,374.0,5440.875014409339
6,4.0,7.0,374.0,6691.345890247937
7,4.0,7.0,285.0,14445.769397787773
8,4.0,7.0,285.0,7066.978092603538
9,4.0,7.0,374.0,5455.005826710305
0,5.0,7.0,285.0,12792.299431251688
1,5.0,7.0,285.0,16194.944747809379
2,5.0,7.0,285.0,15838.77003778298
3,5.0,7.0,285.0,15459.68941265869
4,5.0,7.0,374.0,5027.038544074742
5,5.0,7.0,374.0,13095.815621531821
6,5.0,7.0,285.0,15633.781125137359
7,5.0,7.0,374.0,5040.522663881085
8,5.0,7.0,285.0,15721.384408473774
9,5.0,7.0,285.0,15750.668433738483
0,6.0,7.0,285.0,15002.635848052414
1,6.0,7.0,285.0,15172.81346122038
2,6.0,7.0,285.0,15459.68941265869
3,6.0,7.0,285.0,15401.987638747845
4,6.0,7.0,285.0,5176.531467900352
5,6.0,7.0,285.0,6723.489171939484
6,6.0,7.0,374.0,12994.059774487887
7,6.0,7.0,285.0,14500.74385129345
8,6.0,7.0,285.0,13718.799513761162
9,6.0,7.0,285.0,14583.50039591518
0,7.0,7.0,285.0,13958.007578521778
1,7.0,7.0,285.0,17331.94889813294
2,7.0,7.0,285.0,16075.546813701802
3,7.0,7.0,285.0,5000.133626770033
4,7.0,7.0,285.0,6547.910696217632
5,7.0,7.0,285.0,16315.02026463396
6,7.0,7.0,285.0,5993.561389468153
7,7.0,7.0,374.0,5469.1586408363255
8,7.0,7.0,285.0,15986.440970020292
9,7.0,7.0,285.0,15401.987638747845
0,8.0,7.0,285.0,13692.410864576452
1,8.0,7.0,285.0,18101.773479386968
2,8.0,7.0,285.0,15201.317895329015
3,8.0,7.0,285.0,16194.944747809379
4,8.0,7.0,285.0,6328.680714294548
5,8.0,7.0,285.0,5626.300067934646
6,8.0,7.0,285.0,7066.978092603538
7,8.0,7.0,285.0,13666.060043237792
8,8.0,7.0,285.0,6723.489171939484
9,8.0,7.0,285.0,15344.449570407962
0,9.0,7.0,285.0,15575.585739131919
1,9.0,7.0,285.0,15201.317895329015
2,9.0,7.0,285.0,12617.65925521552
3,9.0,7.0,285.0,7200.744731445456
4,9.0,7.0,285.0,15344.449570407962
5,9.0,7.0,285.0,15144.349540711906
6,9.0,7.0,285.0,7066.978092603538
7,9.0,7.0,285.0,15956.823044297242
8,9.0,7.0,285.0,7473.196230149321
9,9.0,7.0,285.0,13019.443796903144
