scene,num_pad_units,pad_strength,applied_force,result,flex_strength,gripper
05-Pole-PY,8,30,VerticalForce,8191.38,-1,Louse-Pad-Script
05-Pole-PY,8,30,VerticalForce,8825.12,-1,Louse-Pad-Script
05-Pole-PY,8,30,VerticalForce,10263.36,-1,Louse-Pad-Script
05-Pole-PY,8,30,VerticalForce,9108.44,-1,Louse-Pad-Script
05-Pole-PY,8,30,VerticalForce,8465.89,-1,Louse-Pad-Script
05-Pole-PY,8,30,VerticalForce,8228.05,-1,Louse-Pad-Script
05-Pole-PY,8,30,VerticalForce,8228.05,-1,Louse-Pad-Script
05-Pole-PY,8,30,VerticalForce,9448.19,-1,Louse-Pad-Script
05-Pole-PY,8,30,VerticalForce,9815.01,-1,Louse-Pad-Script
05-Pole-PY,8,30,VerticalForce,9188.42,-1,Louse-Pad-Script
05-Pole-PY,8,30,VerticalForce,8526.19,-1,Louse-Pad-Script
05-Pole-P,2,405,HorizontalForce,711.01,-1,Louse-Pad-Script
05-Pole-P,2,405,HorizontalForce,220.5,-1,Louse-Pad-Script
05-Pole-P,2,405,HorizontalForce,340.67,-1,Louse-Pad-Script
05-Pole-P,2,405,HorizontalForce,257.31,-1,Louse-Pad-Script
05-Pole-P,6,15,VerticalForce,583.42,-1,Louse-Pad-Script
05-Pole-P,6,15,VerticalForce,761.21,-1,Louse-Pad-Script
05-Pole-P,6,15,VerticalForce,804.06,-1,Louse-Pad-Script
05-Pole-P,6,15,VerticalForce,694.57,-1,Louse-Pad-Script
05-Pole-P,6,15,VerticalForce,334.08,-1,Louse-Pad-Script
05-Pole-P,-1,-1,HorizontalForce,400.0,45,Finger-Flex-Script
05-Pole-P,-1,-1,HorizontalForce,515.52,45,Finger-Flex-Script
05-Pole-P,-1,-1,HorizontalForce,387.65,45,Finger-Flex-Script
05-Pole-P,-1,-1,HorizontalForce,360.62,45,Finger-Flex-Script
05-Pole-P,-1,-1,HorizontalForce,360.62,45,Finger-Flex-Script
05-Pole-P,-1,-1,HorizontalForce,360.62,45,Finger-Flex-Script
05-Pole-P,-1,-1,HorizontalForce,464.56,45,Finger-Flex-Script
05-Pole-P,-1,-1,HorizontalForce,387.65,45,Finger-Flex-Script
05-Pole-P,-1,-1,HorizontalForce,387.65,45,Finger-Flex-Script
05-Pole-P,-1,-1,HorizontalForce,360.62,45,Finger-Flex-Script
05-Pole-P,-1,-1,HorizontalForce,387.65,45,Finger-Flex-Script
05-Pole-P,-1,-1,HorizontalForce,394.48,45,Finger-Flex-Script
05-Pole-P,4,5,VerticalForce,530.37,-1,Louse-Pad-Script
05-Pole-P,4,5,VerticalForce,598.88,-1,Louse-Pad-Script
05-Pole-P,4,5,VerticalForce,560.49,-1,Louse-Pad-Script
05-Pole-PY,6,90,HorizontalForce,3260.93,-1,Louse-Pad-Script
05-Pole-PY,6,90,HorizontalForce,3384.92,-1,Louse-Pad-Script
05-Pole-PY,6,90,HorizontalForce,3223.98,-1,Louse-Pad-Script
05-Pole-PY,6,90,HorizontalForce,3373.52,-1,Louse-Pad-Script
05-Pole-PY,6,90,HorizontalForce,3032.78,-1,Louse-Pad-Script
05-Pole-PY,6,90,HorizontalForce,3136.43,-1,Louse-Pad-Script
05-Pole-PY,6,90,HorizontalForce,3275.8,-1,Louse-Pad-Script
05-Pole-PY,6,90,HorizontalForce,3477.08,-1,Louse-Pad-Script
05-Pole-PY,6,90,HorizontalForce,3158.16,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,4175.76,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3670.54,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,4614.02,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3578.83,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3578.83,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3578.83,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3290.7,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,1953.11,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3578.83,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,4562.19,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3313.15,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,4874.65,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3100.42,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3450.02,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3450.02,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3165.43,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,2900.42,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3201.94,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,4801.21,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,4197.82,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,6514.79,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,4418.41,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,4175.76,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3450.02,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,4874.65,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3817.33,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,1849.99,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,4948.92,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3743.44,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3578.83,-1,Louse-Pad-Script
05-Pole-PY,0,45,HorizontalForce,3888.05,-1,Louse-Pad-Script
05-Pole-PY,4,30,VerticalForce,1059.82,-1,Louse-Pad-Script
05-Pole-PY,4,30,VerticalForce,737.62,-1,Louse-Pad-Script
05-Pole-PY,4,30,VerticalForce,817.96,-1,Louse-Pad-Script
05-Pole-PY,4,30,VerticalForce,759.52,-1,Louse-Pad-Script
05-Pole-PY,4,30,VerticalForce,729.27,-1,Louse-Pad-Script
05-Pole-PY,4,30,VerticalForce,1059.82,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,4350.02,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,3527.7,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1745.01,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1282.57,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,2457.51,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1734.96,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1153.37,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1734.96,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1107.13,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1734.96,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1734.96,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,865.62,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1557.07,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1977.37,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1732.45,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1977.37,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,973.67,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1780.47,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1267.65,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1734.96,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1734.96,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1427.63,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1282.57,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1752.58,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1752.58,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,4350.02,-1,Louse-Pad-Script
05-Pole-PY,2,15,HorizontalForce,1734.96,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1702.5,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1719.93,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1675.3,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1929.03,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1719.93,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1829.23,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1765.22,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1824.06,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1712.45,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1788.12,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1745.01,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1824.06,-1,Louse-Pad-Script
05-Pole-PY,0,90,VerticalForce,1670.38,-1,Louse-Pad-Script
05-Pole-PY,8,90,HorizontalForce,9985.53,-1,Louse-Pad-Script
05-Pole-PY,8,90,HorizontalForce,9293.25,-1,Louse-Pad-Script
05-Pole-PY,8,90,HorizontalForce,9277.06,-1,Louse-Pad-Script
