[3.65s] 	VerticalForce final force:260.00N
[3.40s] 	VerticalForce final force:235.00N
[3.30s] 	VerticalForce final force:251.11N
[3.50s] 	VerticalForce final force:276.11N
[3.45s] 	VerticalForce final force:269.81N
[3.70s] 	VerticalForce final force:301.58N
[3.35s] 	VerticalForce final force:257.31N
[3.95s] 	VerticalForce final force:334.08N
[2.30s] 	VerticalForce final force:132.86N
[3.50s] 	VerticalForce final force:276.11N
[3.50s] 	VerticalForce final force:276.11N
[3.50s] 	VerticalForce final force:276.11N
[3.45s] 	VerticalForce final force:269.81N
[3.45s] 	VerticalForce final force:269.81N
