[11.79s] 	VerticalForce final force:1824.06N
[11.26s] 	VerticalForce final force:1690.11N
[12.00s] 	VerticalForce final force:1878.75N
[11.38s] 	VerticalForce final force:1719.93N
[11.21s] 	VerticalForce final force:1677.76N
[12.19s] 	VerticalForce final force:1929.03N
[11.37s] 	VerticalForce final force:1717.44N
[11.38s] 	VerticalForce final force:1719.93N
[11.26s] 	VerticalForce final force:1690.11N
[11.56s] 	VerticalForce final force:1765.22N
[11.67s] 	VerticalForce final force:1793.23N
[11.19s] 	VerticalForce final force:1672.84N
[11.56s] 	VerticalForce final force:1765.22N
[11.69s] 	VerticalForce final force:1798.34N
[12.02s] 	VerticalForce final force:1884.00N
[11.36s] 	VerticalForce final force:1714.94N
[11.38s] 	VerticalForce final force:1719.93N
