[19.06s] 	HorizontalForce final force:4354.56N
[18.59s] 	HorizontalForce final force:4145.02N
[20.32s] 	HorizontalForce final force:4953.90N
[18.75s] 	HorizontalForce final force:4215.53N
[18.83s] 	HorizontalForce final force:4251.10N
[18.67s] 	HorizontalForce final force:4180.17N
[18.67s] 	HorizontalForce final force:4180.17N
[18.72s] 	HorizontalForce final force:4202.24N
[18.94s] 	HorizontalForce final force:4300.36N
[17.54s] 	HorizontalForce final force:3702.81N
[18.49s] 	HorizontalForce final force:4101.38N
[18.25s] 	HorizontalForce final force:3997.98N
[18.22s] 	HorizontalForce final force:3985.19N
[18.39s] 	HorizontalForce final force:4058.07N
[19.63s] 	HorizontalForce final force:4618.75N
[19.68s] 	HorizontalForce final force:4642.46N
[18.36s] 	HorizontalForce final force:4045.14N
[18.90s] 	HorizontalForce final force:4282.40N
[18.34s] 	HorizontalForce final force:4036.54N
[18.46s] 	HorizontalForce final force:4088.36N
[18.86s] 	HorizontalForce final force:4264.49N
[20.50s] 	HorizontalForce final force:5044.19N
[18.72s] 	HorizontalForce final force:4202.24N
[20.47s] 	HorizontalForce final force:5029.06N
[19.80s] 	HorizontalForce final force:4699.74N
[18.25s] 	HorizontalForce final force:3997.98N
[18.12s] 	HorizontalForce final force:3942.75N
[18.75s] 	HorizontalForce final force:4215.53N
[18.86s] 	HorizontalForce final force:4264.49N
[19.33s] 	HorizontalForce final force:4478.30N
[18.05s] 	HorizontalForce final force:3913.23N
[20.01s] 	HorizontalForce final force:4801.21N
[8.66s] 	HorizontalForce final force:7930.22N
